textbook,model,textbook_questions_n,avg_accuracy_pct,min_chapter_accuracy_pct,min_chapter_number,min_chapter_label,min_chapter_questions_n
College Algebra,deepseek-chat,2341,90.6,79.8,4,Chapter 4: Linear Functions,129
College Algebra,gemini-2.5-pro,2341,95.0,88.4,4,Chapter 4: Linear Functions,129
College Algebra,o4-mini,2341,95.4,89.1,4,Chapter 4: Linear Functions,129
College Algebra,gpt-5,2341,95.6,90.7,4,Chapter 4: Linear Functions,129
College Physics 2e,o3,999,88.5,62.5,1,Chapter 1,16
College Physics 2e,deepseek-chat,999,76.1,20.0,9,Chapter 9,15
College Physics 2e,gemini-2.5-pro,999,87.2,61.1,5,Chapter 5,18
College Physics 2e,o4-mini,999,85.1,53.3,9,Chapter 9,15
College Physics 2e,gpt-5,999,88.1,73.3,9,Chapter 9,15
Elementary Algebra 2e,o3,4495,97.3,92.9,9,Chapter 9: Roots and Radical,622
Elementary Algebra 2e,deepseek-chat,4495,94.7,84.4,4,Chapter 4: Graphs,282
Elementary Algebra 2e,gemini-2.5-pro,4495,97.1,92.0,9,Chapter 9: Roots and Radical,622
Elementary Algebra 2e,o4-mini,4495,96.6,91.5,9,Chapter 9: Roots and Radical,622
Elementary Algebra 2e,gpt-5,4495,97.2,93.6,9,Chapter 9: Roots and Radical,622
Intellectual Property,o3,175,85.1,78.3,2,Chapter 2,23
Intellectual Property,deepseek-chat,175,84.6,81.1,4,Chapter 4,37
Intellectual Property,gemini-2.5-pro,175,90.3,82.6,2,Chapter 2,23
Intellectual Property,o4-mini,175,87.4,82.6,2,Chapter 2,23
Intellectual Property,gpt-5,175,86.9,78.3,2,Chapter 2,23
Intermediate Algebra 2e,o3,3262,96.8,91.9,4,Chapter 4: Systems of Linear Equations,236
Intermediate Algebra 2e,deepseek-chat,3262,93.9,81.6,3,Chapter 3: Graphs and Functions,201
Intermediate Algebra 2e,gemini-2.5-pro,3262,97.1,91.6,8,Chapter 8: Roots and Radical,431
Intermediate Algebra 2e,o4-mini,3262,95.9,87.3,4,Chapter 4: Systems of Linear Equations,236
Intermediate Algebra 2e,gpt-5,3262,96.9,89.0,4,Chapter 4: Systems of Linear Equations,236
Microbiology,o3,760,95.7,85.7,16,Chapter 16: Disease and Epidemiology,14
Microbiology,deepseek-chat,760,93.7,84.2,9,Chapter 9: Microbial Growth,38
Microbiology,gemini-2.5-pro,760,95.4,86.8,9,Chapter 9: Microbial Growth,38
Microbiology,o4-mini,760,95.5,88.5,20,Chapter 20: Laboratory Analysis of the Immune Response,26
Microbiology,gpt-5,760,95.5,88.5,15,Chapter 15: Microbial Mechanisms of Pathogenicity,26
Prealgebra 2e,o3,3729,98.3,94.0,11,Chapter 11: Graphs,100
Prealgebra 2e,deepseek-chat,3729,96.6,82.0,11,Chapter 11: Graphs,100
Prealgebra 2e,gemini-2.5-pro,3729,98.7,97.0,11,Chapter 11: Graphs,100
Prealgebra 2e,o4-mini,3729,98.3,95.8,5,Chapter 5: Decimals,478
Prealgebra 2e,gpt-5,3729,98.3,96.7,5,Chapter 5: Decimals,478
Precalc,o3,2594,95.6,87.4,12,Chapter 12: Introduction to Calculus,143
Precalc,deepseek-chat,2594,89.5,76.4,6,Chapter 6: Periodic Functions,89
Precalc,gemini-2.5-pro,2594,94.5,88.8,6,Chapter 6: Periodic Functions,89
Precalc,o4-mini,2594,94.6,84.6,12,Chapter 12: Introduction to Calculus,143
Precalc,gpt-5,2594,95.3,89.5,12,Chapter 12: Introduction to Calculus,143
Sociology,o3,185,94.6,77.8,12,Chapter 12,9
Sociology,deepseek-chat,185,90.3,70.0,16,Chapter 16,10
Sociology,gemini-2.5-pro,185,94.6,77.8,12,Chapter 12,9
Sociology,o4-mini,185,89.7,70.0,16,Chapter 16,10
Sociology,gpt-5,185,94.6,77.8,12,Chapter 12,9
Statistics High School,o3,583,90.1,80.0,12,Chapter 12: Linear Regression and Correlation,35
Statistics High School,deepseek-chat,583,81.3,60.5,2,Chapter 2: Descriptive Statistics,43
Statistics High School,gemini-2.5-pro,583,86.3,68.6,12,Chapter 12: Linear Regression and Correlation,35
Statistics High School,o4-mini,583,88.7,71.4,12,Chapter 12: Linear Regression and Correlation,35
Statistics High School,gpt-5,583,90.2,80.0,12,Chapter 12: Linear Regression and Correlation,35
Stats 2e,o3,508,90.6,76.7,12,Chapter 12,30
Stats 2e,deepseek-chat,508,82.3,50.0,2,Chapter 2,40
Stats 2e,gemini-2.5-pro,508,89.0,77.5,2,Chapter 2,40
Stats 2e,o4-mini,508,89.6,73.3,12,Chapter 12,30
Stats 2e,gpt-5,508,91.1,76.7,12,Chapter 12,30
US History,o3,218,92.7,66.7,18,Chapter 18,6
US History,deepseek-chat,218,90.4,66.7,16,Chapter 16,6
US History,gemini-2.5-pro,218,95.0,66.7,18,Chapter 18,6
US History,o4-mini,218,94.5,71.4,5,Chapter 5,7
US History,gpt-5,218,95.0,66.7,18,Chapter 18,6
University Physics V1,o3,909,91.5,84.2,12,Chapter 12: Sources of Magnetic Fields,38
University Physics V1,deepseek-chat,909,77.3,44.7,12,Chapter 12: Sources of Magnetic Fields,38
University Physics V1,gemini-2.5-pro,909,88.9,81.6,12,Chapter 12: Sources of Magnetic Fields,38
University Physics V1,o4-mini,909,90.6,81.6,12,Chapter 12: Sources of Magnetic Fields,38
University Physics V1,gpt-5,909,92.6,78.9,12,Chapter 12: Sources of Magnetic Fields,38
University Physics V2,o3,775,89.2,76.8,11,Chapter 11: Particle Physics and Cosmology,56
University Physics V2,deepseek-chat,775,72.5,47.8,13,Chapter 13: Electromagnetic Induction,46
University Physics V2,gemini-2.5-pro,775,86.5,71.4,11,Chapter 11: Particle Physics and Cosmology,56
University Physics V2,o4-mini,775,88.0,76.6,10,Chapter 10: Nuclear Physics,47
University Physics V2,gpt-5,775,89.0,75.0,11,Chapter 11: Particle Physics and Cosmology,56
University Physics V3,o3,585,88.0,81.6,7,Chapter 7: Quantum Mechanics,49
University Physics V3,deepseek-chat,585,78.1,67.8,2,Chapter 2: Geometric Optics and Image Formation,59
University Physics V3,gemini-2.5-pro,585,86.3,79.6,7,Chapter 7: Quantum Mechanics,49
University Physics V3,o4-mini,585,87.2,80.4,1,Chapter 1: The Nature of Light,46
University Physics V3,gpt-5,585,87.4,74.6,2,Chapter 2: Geometric Optics and Image Formation,59
